file_name,caption,like,date,location
img_152.jpg,,1 like,2025-08-18T20:48:52.000Z,"Menara Siger Lampung Selatan, Lampung"
img_153.jpg,,,2025-08-17T02:32:08.000Z,Locations
img_154.jpg,,,2021-03-11T09:51:46.000Z,Gunung Batu Tanjung Bintang Lampung Selatan
img_155.jpg,,,2024-07-01T05:56:42.000Z,Locations
img_156.jpg,,,2022-10-19T03:37:29.000Z,Locations
img_157.jpg,,,2024-12-26T03:58:51.000Z,Locations
img_158.jpg,,,2025-02-12T09:11:01.000Z,Locations
img_159.jpg,,,2019-05-02T14:00:13.000Z,Locations
img_160.jpg,,,2023-10-11T02:08:40.000Z,Locations
img_161.jpg,,,2023-09-21T03:12:34.000Z,"Pantai Minang Rua, Kelawi, Lampung Selatan"
img_162.jpg,,,2023-05-09T22:50:53.000Z,Grand elty Krakatoa Kalianda south Of Lampung
img_163.jpg,,,2022-04-26T07:00:01.000Z,Locations
img_164.jpg,,1 like,2025-06-14T13:00:22.000Z,Krakatau Park
img_165.jpg,,,2025-06-03T14:29:58.000Z,Pantai Kedu Kalianda - Lampung
img_166.jpg,,,2025-02-15T14:35:35.000Z,"Kalianda, Lampung, Indonesia"
img_167.jpg,,,2025-03-29T01:31:49.000Z,Slanik Waterpark
img_168.jpg,,,2024-08-04T05:40:03.000Z,Locations
img_169.jpg,,,2025-08-25T04:23:52.000Z,Locations
img_170.jpg,,,2023-05-30T03:00:08.000Z,Locations
img_171.jpg,,,2019-06-13T15:30:45.000Z,"Gigi Hiu, Kelumbayan, Tanggamus, Lampung"
img_172.jpg,,,2023-06-21T10:29:35.000Z,Locations
img_173.jpg,,,2026-02-03T02:28:26.000Z,Locations
img_174.jpg,,,2023-03-05T23:38:57.000Z,Locations
img_175.jpg,,,2025-08-17T05:57:31.000Z,Locations
img_176.jpg,,,2025-09-02T03:19:11.000Z,Locations
img_177.jpg,,,2025-04-15T08:13:06.000Z,Locations
img_178.jpg,,,2025-04-12T03:09:45.000Z,Locations
img_179.jpg,,,2025-04-21T08:10:56.000Z,Locations
img_180.jpg,,1 like,2025-01-04T11:28:51.000Z,"Merak Belantung, Kalianda."
img_181.jpg,,1 like,2023-02-28T14:25:45.000Z,"Pantai Minang Rua, Kelawi, Lampung Selatan"
img_182.jpg,,,2023-12-25T07:29:11.000Z,Alau Alau Boutique Resort Kalianda
img_183.jpg,,,2023-03-17T11:35:58.000Z,Penengahan Lampung Selatan
img_184.jpg,,2 likes,2020-07-21T00:24:38.000Z,Tanjung Bintang Lampung
img_185.jpg,,,2025-03-25T07:00:24.000Z,Locations
img_186.jpg,,,2025-05-05T07:40:07.000Z,Locations
img_187.jpg,,,2025-05-28T23:22:05.000Z,Locations
img_188.jpg,,,2025-09-09T09:34:18.000Z,Locations
img_189.jpg,,,2022-05-06T09:14:19.000Z,Bandar Lampung
img_190.jpg,,1 like,2023-07-27T01:57:56.000Z,Locations
img_191.jpg,,,2022-08-12T09:16:41.000Z,"Muara Indah Suak Beach, Sidomulyo, Lampung Selatan"
img_192.jpg,,,2025-04-14T01:22:31.000Z,Locations
img_193.jpg,,1 like,2022-06-09T15:01:05.000Z,Locations
img_194.jpg,,,2023-12-05T04:49:40.000Z,Locations
img_195.jpg,,,2025-07-06T01:33:11.000Z,Locations
img_196.jpg,,1 like,2025-04-11T08:21:20.000Z,Locations
img_197.jpg,,1 like,2024-12-27T02:25:42.000Z,Ketapang
img_198.jpg,,,2025-02-27T07:45:19.000Z,Locations
img_199.jpg,,,2022-12-07T07:00:11.000Z,Locations
img_200.jpg,,,2022-04-22T13:38:59.000Z,Locations
img_201.jpg,,,2022-08-02T01:47:08.000Z,Wisata Pantai Minang Rua
img_202.jpg,,1 like,2024-07-01T01:13:10.000Z,Locations
img_203.jpg,,1 like,2025-08-17T02:16:29.000Z,"Menara Siger Lampung Selatan, Lampung"
img_204.jpg,,,2025-05-08T05:13:23.000Z,Locations
img_205.jpg,,,2024-08-04T12:04:47.000Z,Locations
img_206.jpg,,,2023-07-23T14:31:39.000Z,Locations
img_207.jpg,,,2025-03-30T05:11:31.000Z,Slanik Waterpark
img_208.jpg,,,2025-03-21T07:05:08.000Z,Locations
img_209.jpg,,,2023-07-02T13:59:11.000Z,Lampung Selatan
img_210.jpg,,,2025-01-28T16:00:24.000Z,Locations
img_211.jpg,,,2025-01-30T13:10:56.000Z,Krakatau Park
img_212.jpg,,,2024-07-31T06:05:19.000Z,Locations
img_213.jpg,,,2025-08-16T07:25:59.000Z,Locations
